Districts,ActiveCases,PositiveCases,DeceasedCases,RecoveredCases,TotalTests,RecoveryRate,FatalityRate
Pune,16903,339450,7086,315428,68561566,92.9,2.1
Mumbai,16373,265679,10484,238086,84316686,89.6,3.9
Thane ,14546,228538,5319,208629,47097233,91.3,2.3
Ahmednagar,4289,58111,902,52919,1039351,91.1,1.6
Satara,4150,49471,1513,43799,4802928,88.5,3.1
Raigad,3117,60773,1434,56216,8257151,92.5,2.4
Chandrapur,3103,17697,268,14416,5020167,81.5,1.5
Nagpur,2977,107439,2842,101605,15722360,94.6,2.6
Solapur,2633,45789,1540,41611,13219403,90.9,3.4
Nashik,2511,98638,1619,94507,13504854,95.8,1.6
